prefix_s,project_s,src_db_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,scaffolds_count_l,scaffolds_proteins_count_l,scaffolds_total_length_l,scaffolds_annotated_s,scaffolds_range_ss,chromosome_range_ss,update_date_dt,create_date_dt
GAVZ01,TSA,GenBank,,PLN,Tripterygium wilfordii,PRJNA218574,SAMN02351604,,,47349970,67839,0,No,0,0,0,No,,,2014-03-18T00:00:00Z,2014-03-18T00:00:00Z
GAWA01,TSA,GenBank,,PLN,Prunus armeniaca,PRJNA237575,"SAMN02630625,SAMN02630626,SAMN02630627",,,78537253,98283,0,No,0,0,0,No,,,2014-03-06T00:00:00Z,2014-03-06T00:00:00Z
GAXU01,TSA,GenBank,,PLN,Capsicum annuum,PRJNA222418,SAMN02370328,cultivar: IIVRC-452,"tissue_type: root\, stem\, leaf and fruit",61897451,86029,0,No,0,0,0,No,,,2014-08-20T00:00:00Z,2014-08-19T00:00:00Z
GAXV01,TSA,GenBank,,PLN,Capsicum annuum,PRJNA222419,SAMN02370329,cultivar: Pusa Jwala,"tissue_type: root\, stem\, leaf and fruit",61424252,85420,0,No,0,0,0,No,,,2014-08-20T00:00:00Z,2014-08-19T00:00:00Z
GAYR01,TSA,GenBank,,PLN,Solanum melongena,PRJNA239646,SAMN02666663,cultivar: Ramnagar Giant,"tissue_type: root\, stem\, leaf\, peduncle\, floral bud\, flower\, calyx and fruit",73634789,94837,0,No,0,0,0,No,,,2015-01-27T00:00:00Z,2015-01-27T00:00:00Z
GAYS01,TSA,GenBank,,PLN,Solanum incanum,PRJNA222416,SAMN02370327,cultivar: W4,"tissue_type: root\, stem\, leaf\, peduncle\, floral bud\, flower\, calyx and fruit",73796411,95095,0,No,0,0,0,No,,,2015-01-27T00:00:00Z,2015-01-27T00:00:00Z
GAYT01,TSA,GenBank,,PLN,Ficus carica,PRJNA239174,SAMN02649627,cultivar: brown turkey,tissue_type: Fruit receptacle,31164547,46297,0,No,0,0,0,No,,,2015-02-02T00:00:00Z,2015-02-02T00:00:00Z
GAZZ01,TSA,GenBank,,PLN,Ammopiptanthus mongolicus,PRJNA238500,SAMN02593582,,tissue_type: Mesophyll,54484692,81930,0,No,0,0,0,No,,,2016-03-03T00:00:00Z,2016-03-03T00:00:00Z
GBAD01,TSA,GenBank,,PLN,Boechera gunnisoniana,PRJNA227269,SAMN02401036,,,149538981,112145,0,No,0,0,0,No,,,2014-07-24T00:00:00Z,2014-06-02T00:00:00Z
GBBZ01,TSA,GenBank,,PLN,Camellia sinensis,PRJNA223181,SAMN02377821,cultivar: Longjing 43,"dev_stage: spring new shoot,tissue_type: Two and a bud",25408232,49010,0,No,0,0,0,No,,,2014-09-03T00:00:00Z,2014-04-28T00:00:00Z
GBCV01,TSA,GenBank,,PLN,Mangifera indica,PRJNA227243,SAMN02401016,strain: Shelly,,49681799,57544,0,No,0,0,0,No,,,2014-04-22T00:00:00Z,2014-04-22T00:00:00Z
GBDN01,TSA,GenBank,,PLN,Dahlia pinnata,PRJNA189243,SAMN02303576,cultivar: Rio Riata,,41563451,35638,0,No,0,0,0,No,,,2014-05-02T00:00:00Z,2014-05-02T00:00:00Z
GBDQ01,TSA,GenBank,,PLN,Petunia integrifolia subsp. inflata,PRJNA244357,"SAMN02725492,SAMN02725493",,tissue_type: pollen,36355247,45432,0,No,0,0,0,No,,,2014-09-03T00:00:00Z,2014-09-03T00:00:00Z
GBDR01,TSA,GenBank,,PLN,Petunia integrifolia subsp. inflata,PRJNA244357,"SAMN02725494,SAMN02725495",,tissue_type: pollen,30710900,40928,0,No,0,0,0,No,,,2014-09-03T00:00:00Z,2014-09-03T00:00:00Z
GBDS01,TSA,GenBank,,PLN,Petunia integrifolia subsp. inflata,PRJNA244357,SAMN02725496,,tissue_type: leaf,38708079,51610,0,No,0,0,0,No,,,2014-09-03T00:00:00Z,2014-09-03T00:00:00Z
GBDX01,TSA,GenBank,,PLN,Brassica rapa,PRJNA244166,"SAMN02724777,SAMN02724778,SAMN02724779,SAMN02724780,SAMN02724781,SAMN02724782,SAMN02724783,SAMN02724784,SAMN02724785,SAMN02724786",,,47116860,32710,0,No,0,0,0,No,,,2015-06-01T00:00:00Z,2015-06-01T00:00:00Z
GBEA01,TSA,GenBank,,PLN,Nicotiana tabacum,PRJNA245117,SAMN02732167,cultivar: MSK326 and Yunyan203,tissue_type: leaves,63966611,97921,0,No,0,0,0,No,,,2015-05-26T00:00:00Z,2015-05-26T00:00:00Z
GBED01,TSA,GenBank,,PLN,Pyrus pyrifolia,PRJNA245398,SAMN02737232,cultivar: Cuiguan,tissue_type: fruit,3174877,2661,0,No,0,0,0,No,,,2014-05-09T00:00:00Z,2014-05-09T00:00:00Z
GBEF01,TSA,GenBank,,PLN,Solanum melongena,PRJNA233637,SAMN02570259,,"tissue_type: roots\, stems and young leaves",40642033,44641,0,No,0,0,0,No,,,2014-06-04T00:00:00Z,2014-06-04T00:00:00Z
GBEG01,TSA,GenBank,,PLN,Solanum torvum,PRJNA233637,SAMN02570258,,"tissue_type: roots\, stems and young leaves",49495750,53571,0,No,0,0,0,No,,,2014-06-04T00:00:00Z,2014-06-04T00:00:00Z
GBEP01,TSA,GenBank,,PLN,Brassica juncea,PRJNA245462,SAMN02738248,cultivar: Heera,"dev_stage: young flower buds,tissue_type: young inflorescence; leaf; stem; seedling",34745250,77003,0,No,0,0,0,No,,,2016-02-17T00:00:00Z,2014-06-16T00:00:00Z
GBEQ01,TSA,GenBank,,PLN,Brassica juncea,PRJNA245462,SAMN02741811,cultivar: Varuna,"dev_stage: young flower buds,tissue_type: young inflorescence; leaf; pods; seedling",34081017,76454,0,No,0,0,0,No,,,2016-02-17T00:00:00Z,2014-06-16T00:00:00Z
GBFL01,TSA,GenBank,,PLN,Vaccinium macrocarpon,PRJNA246586,SAMN02739898,cultivar: Ben Lear,tissue_type: leaves,33379313,48270,0,No,0,0,0,No,,,2014-06-09T00:00:00Z,2014-06-09T00:00:00Z
GBFN01,TSA,GenBank,,PLN,Paeonia lactiflora,PRJNA245064,"SAMN02731429,SAMN02731468,SAMN02737857,SAMN02743502,SAMN02743503,SAMN02743504",,,64413725,51481,0,No,0,0,0,No,,,2015-03-25T00:00:00Z,2015-03-25T00:00:00Z
GBGF01,TSA,GenBank,,PLN,Nicotiana attenuata,PRJNA223344,SAMN02378603,,,59543859,90466,56,Yes,0,0,0,No,,,2016-04-19T00:00:00Z,2014-11-19T00:00:00Z
GBGR01,TSA,GenBank,,PLN,Punica granatum,PRJNA231033,SAMN02803728,,,54774396,65353,0,No,0,0,0,No,,,2014-09-08T00:00:00Z,2014-09-08T00:00:00Z
GBGY01,TSA,GenBank,,PLN,Paeonia suffruticosa,PRJNA208873,SAMN02208113,cultivar: Luo Yang Hong,,347422,371,0,No,0,0,0,No,,,2014-06-24T00:00:00Z,2014-06-24T00:00:00Z
GBGZ01,TSA,GenBank,,PLN,Solanum melongena,PRJNA247728,SAMN02777982,,tissue_type: fruit,132832610,121454,0,No,0,0,0,No,,,2015-10-28T00:00:00Z,2015-10-28T00:00:00Z
GBHG01,TSA,GenBank,,PLN,Calotropis procera,PRJNA251916,SAMN02843192,,tissue_type: Leaf,170759924,104184,0,No,0,0,0,No,,,2015-03-26T00:00:00Z,2015-03-26T00:00:00Z
GBHI01,TSA,GenBank,,PLN,Camellia oleifera,PRJNA239933,"SAMN02892969,SAMN02892970,SAMN02892971,SAMN02892972",,,35690654,84162,0,No,0,0,0,No,,,2014-08-28T00:00:00Z,2014-07-22T00:00:00Z
GBHJ01,TSA,GenBank,,PLN,Withania somnifera,PRJNA223351,SAMN02690836,,"dev_stage: Vegetative phase,isolation_source: missing,tissue_type: root; Salicylic acid treated leaf tissue; In vitro grown roots",119120515,73511,0,No,0,0,0,No,,,2014-07-28T00:00:00Z,2014-07-28T00:00:00Z
GBHK01,TSA,GenBank,,PLN,Arachis hypogaea,PRJNA251584,SAMN02837507,,,14948761,22131,0,No,0,0,0,No,,,2015-01-05T00:00:00Z,2015-01-05T00:00:00Z
GBHL01,TSA,GenBank,,PLN,Tinospora cordifolia,PRJNA188660,SAMN01915272,cultivar: IC-281970,,20865469,33332,0,No,0,0,0,No,,,2017-06-07T00:00:00Z,2017-06-07T00:00:00Z
GBHP01,TSA,GenBank,,PLN,Hevea brasiliensis,PRJNA254411,"SAMN02903559,SAMN02903560",,,28026181,33781,0,No,0,0,0,No,,,2017-08-01T00:00:00Z,2017-08-01T00:00:00Z
GBIO01,TSA,GenBank,,PLN,Avicennia marina,PRJNA187540,SAMN01906725,,tissue_type: leaf,41667392,89833,0,No,0,0,0,No,,,2014-10-22T00:00:00Z,2014-10-22T00:00:00Z
GBIP01,TSA,GenBank,,PLN,Arachis duranensis,PRJNA248910,SAMN02803902,cultivar: KSSc 38901 (PI 497483),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",24355435,30807,0,No,0,0,0,No,,,2015-02-02T00:00:00Z,2014-09-05T00:00:00Z
GBIQ01,TSA,GenBank,,PLN,Arachis ipaensis,PRJNA248910,SAMN02803903,cultivar: KGBPScS30076 (PI 468322),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",22223312,29780,0,No,0,0,0,No,,,2015-02-02T00:00:00Z,2014-09-04T00:00:00Z
GBIR01,TSA,GenBank,,PLN,Arachis duranensis,PRJNA248910,SAMN02803902,cultivar: KSSc 38901 (PI 497483),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",26958481,39276,0,No,0,0,0,No,,,2015-02-02T00:00:00Z,2014-08-27T00:00:00Z
GBIS01,TSA,GenBank,,PLN,Arachis ipaensis,PRJNA248910,SAMN02803903,cultivar: KGBPScS30076 (PI 468322),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",24175988,37725,0,No,0,0,0,No,,,2015-02-02T00:00:00Z,2014-08-27T00:00:00Z
GBIU01,TSA,GenBank,,PLN,Arachis duranensis,PRJNA248910,SAMN02803902,cultivar: KSSc 38901 (PI 497483),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",34674541,37379,0,No,0,0,0,No,,,2015-02-02T00:00:00Z,2014-09-04T00:00:00Z
GBIV01,TSA,GenBank,,PLN,Arachis duranensis,PRJNA248910,SAMN02803902,cultivar: KSSc 38901 (PI 497483),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",32616337,32805,0,No,0,0,0,No,,,2015-02-02T00:00:00Z,2015-02-02T00:00:00Z
GBIW01,TSA,GenBank,,PLN,Arachis ipaensis,PRJNA248910,SAMN02803903,cultivar: KGBPScS30076 (PI 468322),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",34674541,37379,0,No,0,0,0,No,,,2015-02-02T00:00:00Z,2014-09-05T00:00:00Z
