id,prefix_s,project_s,src_db_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,scaffolds_count_l,scaffolds_proteins_count_l,scaffolds_total_length_l,scaffolds_annotated_s,scaffolds_range_ss,chromosome_range_ss,update_date_dt,create_date_dt
175,GGJG01,TSA,GenBank,,PLN,Abies balsamea,PRJNA437248,SAMN08646834,,"dev_stage: mixed,tissue_type: mixed",63280253,46051,0,No,0,0,0,No,,,2019-04-18T00:00:00Z,2019-04-18T00:00:00Z
674,GCZN01,TSA,GenBank,,PLN,Abies pinsapo,PRJNA281588,"SAMN03492069,SAMN03492070,SAMN03492071",,,107486680,97634,0,No,0,0,0,No,,,2017-07-05T00:00:00Z,2017-07-05T00:00:00Z
616,GBYE01,TSA,GenBank,,PLN,Acacia koa,PRJNA268386,SAMN03106213,,,53302741,81070,40,Yes,0,0,0,No,,,2015-07-28T00:00:00Z,2015-07-28T00:00:00Z
796,GEEI01,TSA,GenBank,,PLN,Acrostichum aureum,PRJNA276721,SAMN03380083,cultivar: Acrostichum aureum,"isolation_source: mangrove forest,tissue_type: leaf",34771154,47517,0,No,0,0,0,No,,,2016-12-13T00:00:00Z,2016-12-13T00:00:00Z
797,GEEJ01,TSA,GenBank,,PLN,Acrostichum speciosum,PRJNA276721,SAMN03380084,cultivar: Acrostichum speciosum,"isolation_source: mangrove forest,tissue_type: leaf",36451860,36420,0,No,0,0,0,No,,,2016-12-13T00:00:00Z,2016-12-13T00:00:00Z
209,GGMO01,TSA,GenBank,,PLN,Actinidia chinensis,PRJNA436459,"SAMN08625669,SAMN08625670,SAMN08625671,SAMN08625672,SAMN08625673,SAMN08625674,SAMN08625675,SAMN08625676,SAMN08625677,SAMN08625678,SAMN08625679,SAMN08625680,SAMN08625681,SAMN08625682,SAMN08625683,SAMN08625684",,tissue_type: all plant,36968152,39594,0,No,0,0,0,No,,,2019-01-16T00:00:00Z,2019-01-16T00:00:00Z
440,GALZ01,TSA,GenBank,,PLN,Actinidia chinensis,PRJNA210597,,cultivar: Hongyang,"dev_stage: 70 days of anthesis,tissue_type: fruit",14555796,10000,0,No,0,0,0,No,,,2016-02-09T00:00:00Z,2016-02-09T00:00:00Z
441,GAMA01,TSA,GenBank,,PLN,Actinidia chinensis,PRJNA210597,,cultivar: Hongyang,"dev_stage: 70 days of anthesis,tissue_type: fruit",24728890,20000,0,No,0,0,0,No,,,2016-01-07T00:00:00Z,2016-01-07T00:00:00Z
442,GAMB01,TSA,GenBank,,PLN,Actinidia chinensis,PRJNA210597,,cultivar: Hongyang,"dev_stage: 70 days of anthesis,tissue_type: fruit",18739216,26103,0,No,0,0,0,No,,,2016-01-07T00:00:00Z,2016-01-07T00:00:00Z
881,GEYI01,TSA,GenBank,,PLN,Actinidia deliciosa,PRJNA339334,"SAMN05589884,SAMN05589885,SAMN05589886,SAMN05589887,SAMN05589888,SAMN05589889,SAMN05589890,SAMN05589891,SAMN05589892,SAMN05589893,SAMN05589894,SAMN05589895,SAMN05589896,SAMN05589897,SAMN05589898,SAMN05589899,SAMN05589900",,,64924648,68460,0,No,0,0,0,No,,,2017-10-03T00:00:00Z,2017-10-03T00:00:00Z
1000,GFOK01,TSA,GenBank,,PLN,Actinidia eriantha,PRJNA386739,SAMN07112327,,tissue_type: fruit,41223064,69396,0,No,0,0,0,No,,,2017-06-02T00:00:00Z,2017-06-02T00:00:00Z
821,GELI01,TSA,GenBank,,PLN,Aegiceras corniculatum,PRJNA269022,SAMN03247597,cultivar: Dongzhai,"dev_stage: Seeding,tissue_type: leaf & root",30930804,49412,0,No,0,0,0,No,,,2016-05-04T00:00:00Z,2016-04-11T00:00:00Z
351,IAAN01,TSA,DDBJ,,PLN,Aegilops tauschii,PRJDB4683,SAMD00049228,strain: AT76,"dev_stage: ten-day-old seedling,tissue_type: leaves",48044671,45723,0,No,0,0,0,No,,,2016-05-11T00:00:00Z,2016-05-11T00:00:00Z
352,IAAO01,TSA,DDBJ,,PLN,Aegilops tauschii,PRJDB4683,SAMD00049229,strain: KU-2003,"dev_stage: ten-day-old seedling,tissue_type: leaves",57742202,55813,0,No,0,0,0,No,,,2016-05-11T00:00:00Z,2016-05-11T00:00:00Z
353,IAAP01,TSA,DDBJ,,PLN,Aegilops tauschii,PRJDB4683,SAMD00049230,strain: KU-2025,"dev_stage: ten-day-old seedling,tissue_type: leaves",33747898,33680,0,No,0,0,0,No,,,2016-05-11T00:00:00Z,2016-05-11T00:00:00Z
354,IAAQ01,TSA,DDBJ,,PLN,Aegilops tauschii,PRJDB4683,SAMD00049231,strain: KU-2075,"dev_stage: ten-day-old seedling,tissue_type: leaves",64131189,65447,0,No,0,0,0,No,,,2016-05-11T00:00:00Z,2016-05-11T00:00:00Z
355,IAAR01,TSA,DDBJ,,PLN,Aegilops tauschii,PRJDB4683,SAMD00049232,strain: KU-2078,"dev_stage: ten-day-old seedling,tissue_type: leaves",58200560,60884,0,No,0,0,0,No,,,2016-05-11T00:00:00Z,2016-05-11T00:00:00Z
356,IAAS01,TSA,DDBJ,,PLN,Aegilops tauschii,PRJDB4683,SAMD00049233,strain: KU-2087,"dev_stage: ten-day-old seedling,tissue_type: leaves",65665394,65827,0,No,0,0,0,No,,,2016-05-11T00:00:00Z,2016-05-11T00:00:00Z
357,IAAT01,TSA,DDBJ,,PLN,Aegilops tauschii,PRJDB4683,SAMD00049234,strain: KU-2093,"dev_stage: ten-day-old seedling,tissue_type: leaves",54449535,53474,0,No,0,0,0,No,,,2016-05-11T00:00:00Z,2016-05-11T00:00:00Z
358,IAAU01,TSA,DDBJ,,PLN,Aegilops tauschii,PRJDB4683,SAMD00049235,strain: KU-2124,"dev_stage: ten-day-old seedling,tissue_type: leaves",62012491,60479,0,No,0,0,0,No,,,2016-05-11T00:00:00Z,2016-05-11T00:00:00Z
359,IAAV01,TSA,DDBJ,,PLN,Aegilops tauschii,PRJDB4683,SAMD00049236,strain: KU-2627,"dev_stage: ten-day-old seedling,tissue_type: leaves",62241597,60547,0,No,0,0,0,No,,,2016-05-11T00:00:00Z,2016-05-11T00:00:00Z
360,IAAW01,TSA,DDBJ,,PLN,Aegilops tauschii,PRJDB4683,SAMD00049237,strain: PI499262,"dev_stage: ten-day-old seedling,tissue_type: leaves",55870326,55848,0,No,0,0,0,No,,,2016-05-11T00:00:00Z,2016-05-11T00:00:00Z
372,IADU01,TSA,DDBJ,,PLN,Aeginetia indica,PRJDB5395,SAMD00069581,,"tissue_type: mixture of flower\, seed and stem",526468533,434209,0,No,0,0,0,No,,,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z
